graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
#Sat Mar  1 17:33:25 2025
2, 23, 1, Outerplanar, 80, 4, 18, 0, 21, 0.750000, 23, 0.000792, 0.015653
2, 23, 1, EdgeDisjointPaths, 80, 4, 4, 0, 9, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 81, 4, 21, 0, 24, 0.750000, 23, 0.000782, 0.015951
2, 23, 1, EdgeDisjointPaths, 81, 4, 4, 0, 13, 0.450000, 23, 0.000800, 0.000000
2, 23, 1, Outerplanar, 82, 4, 18, 0, 20, 0.750000, 23, 0.000805, 0.016056
2, 23, 1, EdgeDisjointPaths, 82, 4, 2, 0, 7, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 83, 4, 23, 0, 25, 0.750000, 23, 0.000806, 0.031351
2, 23, 1, EdgeDisjointPaths, 83, 4, 2, 0, 7, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 84, 4, 6, 0, 7, 0.200000, 23, 0.000785, 0.016313
2, 23, 1, EdgeDisjointPaths, 84, 4, 7, 0, 12, 0.950000, 23, 0.000800, 0.000000
2, 23, 1, Outerplanar, 85, 4, 2, 0, 3, 0.200000, 23, 0.000580, 0.036122
2, 23, 1, EdgeDisjointPaths, 85, 4, 4, 0, 11, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 86, 4, 6, 0, 8, 0.200000, 23, 0.000797, 0.032197
2, 23, 1, EdgeDisjointPaths, 86, 4, 0, 0, 6, 0.450000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 87, 4, 2, 0, 4, 0.200000, 23, 0.001224, 0.016034
2, 23, 1, EdgeDisjointPaths, 87, 4, 9, 0, 13, 0.950000, 23, 0.000397, 0.000000
2, 23, 1, Outerplanar, 88, 4, 8, 0, 9, 0.200000, 23, 0.000791, 0.016054
2, 23, 1, EdgeDisjointPaths, 88, 4, 2, 0, 8, 0.850000, 23, 0.000801, 0.000000
2, 23, 1, Outerplanar, 89, 4, 19, 0, 23, 0.750000, 23, 0.000795, 0.015930
